PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	LYNCH, JC								COMMAND FUNCTION CONCEPT IN STUDIES OF THE PRIMATE NERVOUS-SYSTEM								BEHAVIORAL AND BRAIN SCIENCES				1	1			31	32		10.1017/S0140525X00059288			1978	1978										1									
J	Lynch, MP								And what of human musicality?								BEHAVIORAL AND BRAIN SCIENCES				19	4			788	&		10.1017/S0140525X00044071			DEC 1996	1996										2									
J	LYONS, W								BEHAVIORISM AND THE PROBLEM OF PRIVACY								BEHAVIORAL AND BRAIN SCIENCES				7	4			635	636		10.1017/S0140525X00027771			1984	1984										1									
J	LYONS, W								THE ANHEDONIA VS THE ECLECTIC HYPOTHESIS								BEHAVIORAL AND BRAIN SCIENCES				5	1			65	66		10.1017/S0140525X00010505			1982	1982										1									
J	LYONS, W								ON SOME KEY CONCEPTS IN EYSENCK CONDITIONING THEORY OF NEUROSIS								BEHAVIORAL AND BRAIN SCIENCES				2	2			174	174		10.1017/S0140525X00061744			1979	1979										1									
J	LYTTON, H								DIFFERENT PARENTAL PRACTICES - DIFFERENT SOURCES OF INFLUENCE								BEHAVIORAL AND BRAIN SCIENCES				14	3			399	399		10.1017/S0140525X00070436			SEP 1991	1991										6									
J	Mac Aogain, E								Information and appearance								BEHAVIORAL AND BRAIN SCIENCES				22	1			159	+		10.1017/S0140525X99341790			FEB 1999	1999										2									
J	Macchi, Laura; Bagassi, Maria								The underinformative formulation of conditional probability								BEHAVIORAL AND BRAIN SCIENCES				30	3			274	+		10.1017/S0140525X07001823			JUN 2007	2007										2									
J	MacCoun, Robert J.								Alternative maps of the world of collective behaviors								BEHAVIORAL AND BRAIN SCIENCES				37	1			88	90		10.1017/S0140525X13001787			FEB 2014	2014										2									
J	MacDonald, K; Geary, D								g and Darwinian algorithms								BEHAVIORAL AND BRAIN SCIENCES				23	5			685	+		10.1017/S0140525X00443438			OCT 2000	2000										2									
J	MACDONALD, K								GROUP EVOLUTIONARY STRATEGIES - DIMENSIONS AND MECHANISMS								BEHAVIORAL AND BRAIN SCIENCES				17	4			629	630		10.1017/S0140525X00036359			DEC 1994	1994										3									
J	MacDorman, KF								Feature learning, multiresolution analysis, and symbol grounding								BEHAVIORAL AND BRAIN SCIENCES				21	1			32	+		10.1017/S0140525X98420107			FEB 1998	1998										3									
J	MacDorman, KF								Memory must also mesh affect								BEHAVIORAL AND BRAIN SCIENCES				20	1			29	&					MAR 1997	1997										1									
J	Mace, FC								Clinical applications of behavioral momentum								BEHAVIORAL AND BRAIN SCIENCES				23	1			105	+		10.1017/S0140525X00372405			FEB 2000	2000										7									
J	Mace, Ruth; Silva, Antonio S.								The role of cultural group selection in explaining human cooperation is a hard case to prove								BEHAVIORAL AND BRAIN SCIENCES				39						e45	10.1017/S0140525X15000187			2016	2016										3									
J	Mace, WM								The primacy of ecological realism								BEHAVIORAL AND BRAIN SCIENCES				25	1			111	+		10.1017/S0140525X0237002X			FEB 2002	2002										4									
J	MACE, WM; TURVEY, MT								THE IMPLICATIONS OF OCCLUSION FOR PERCEIVING PERSISTENCE								BEHAVIORAL AND BRAIN SCIENCES				6	1			29	31		10.1017/S0140525X00014485			1983	1983										3									
J	MACE, WM								PERCEPTUAL ACTIVITY AND DIRECT PERCEPTION								BEHAVIORAL AND BRAIN SCIENCES				3	3			392	393		10.1017/S0140525X00005604			1980	1980										3									
J	Machery, E.								Explaining why experimental behavior varies across cultures: A missing step in The weirdest people in the world?								Behavioral and Brain Sciences				33	2			61	135						2010										1									
J	Machery, E; Kelly, D; Stich, SP								Moral realism and cross-cultural normative diversity								BEHAVIORAL AND BRAIN SCIENCES				28	6			830	+		10.1017/S0140525X05370142			DEC 2005	2005										5									
J	Machery, Edouard								Explaining why experimental behavior varies across cultures: A missing step in "The weirdest people in the world?"								BEHAVIORAL AND BRAIN SCIENCES				33	2-3			101	+		10.1017/S0140525X10000178			APR-JUN 2010	2010										9									
J	Machery, Edouard								Precis of Doing without Concepts								BEHAVIORAL AND BRAIN SCIENCES				33	2-3			195	+		10.1017/S0140525X09991531			APR-JUN 2010	2010										29									
J	Machery, Edouard								The heterogeneity of knowledge representation and the elimination of concept								BEHAVIORAL AND BRAIN SCIENCES				33	2-3			231	244		10.1017/S0140525X10000932			APR-JUN 2010	2010										5									
J	Machery, Edouard; Stich, Stephen								You can't have it both ways: what is the relation between morality and fairness?								The Behavioral and brain sciences				36	1			95			10.1017/S0140525X12000908			2013-Feb	2013										1									
J	MacIver, MA								How building physical models can reduce and guide the abstraction of nature								BEHAVIORAL AND BRAIN SCIENCES				24	6			1066	+		10.1017/S0140525X0139012X			DEC 2001	2001										1									
J	MACK, A								NON-VISUAL DETERMINANTS OF PERCEPTION								BEHAVIORAL AND BRAIN SCIENCES				2	1			75	75		10.1017/S0140525X00060866			1979	1979										1									
J	MACKAY, DG								WHY FACTS NEITHER SPEAK FOR THEMSELVES NOR RESOLVE THE PSI CONTROVERSY - THE VIEW FROM THE RATIONAL EPISTEMOLOGY								BEHAVIORAL AND BRAIN SCIENCES				13	2			385	386		10.1017/S0140525X00079292			JUN 1990	1990										1									
B	MACKAY, DG								SPEECH-PERCEPTION BY EAR AND EYE - A PARADIGM FOR PSYCHOLOGICAL INQUIRY - MASSARO,DW								BEHAVIORAL AND BRAIN SCIENCES				12	4			770	770		10.1017/S0140525X00025760			DEC 1989	1989										1									
J	MACKAY, DG								BEHAVIORAL PLASTICITY, SERIAL ORDER, AND THE MOTOR PROGRAM								BEHAVIORAL AND BRAIN SCIENCES				4	4			630	631		10.1017/S0140525X00000625			1981	1981										3									
J	MACKAY, DM								INTRINSIC VERSUS CONTRIVED INTENTIONALITY								BEHAVIORAL AND BRAIN SCIENCES				9	1			149	150		10.1017/S0140525X00021890			MAR 1986	1986										2									
J	MACKAY, DM								DO WE CONTROL OUR BRAINS								BEHAVIORAL AND BRAIN SCIENCES				8	4			546	546		10.1017/S0140525X0004499X			DEC 1985	1985										7									
J	MACKAY, WA								CONSCIOUSNESS IS KING OF THE NEURONAL PROCESSORS								BEHAVIORAL AND BRAIN SCIENCES				14	4			687	687		10.1017/S0140525X00071995			DEC 1991	1991										2									
J	MACKAY, WA								THE MOTOR SYSTEM CONTROLS WHAT IT SENSES								BEHAVIORAL AND BRAIN SCIENCES				5	4			557	557		10.1017/S0140525X00013522			1982	1982										1									
J	MacKenzie, CL; Graham, ED								Separating A and W effects: Pointing to targets on computer displays								BEHAVIORAL AND BRAIN SCIENCES				20	2			316	&		10.1017/S0140525X97361445			JUN 1997	1997										7									
J	MACKIE, JL								PROPENSITY, EVIDENCE, AND DIAGNOSIS								BEHAVIORAL AND BRAIN SCIENCES				4	3			345	346		10.1017/S0140525X00009250			1981	1981										2									
J	MACKINTOSH, NJ								FROM NULL HYPOTHESIS TO NULL DOGMA								BEHAVIORAL AND BRAIN SCIENCES				10	4			689	689		10.1017/S0140525X00055333			DEC 1987	1987										2									
J	MACKINTOSH, NJ								WHERES THE ACTION								BEHAVIORAL AND BRAIN SCIENCES				4	4			631	631		10.1017/S0140525X00000637			1981	1981										1									
J	MACKINTOSH, NJ								LIMITS ON REINTERPRETING INSTRUMENTAL-CONDITIONING IN TERMS OF CLASSICAL-CONDITIONING								BEHAVIORAL AND BRAIN SCIENCES				1	1			67	68		10.1017/S0140525X00059586			1978	1978										2									
J	MACKWORTH, AK								WHAT IS THE SCHEMA FOR A SCHEMA								BEHAVIORAL AND BRAIN SCIENCES				10	3			443	444		10.1017/S0140525X0002344X			SEP 1987	1987										1									
J	MacLaury, RE								Ethnographic evidence of unique hues and elemental colors								BEHAVIORAL AND BRAIN SCIENCES				20	2			202	&		10.1017/S0140525X97401425			JUN 1997	1997										20									
J	MacLennan, B								Neurophenomenological constraints and pushing back the subjectivity barrier								BEHAVIORAL AND BRAIN SCIENCES				22	6			961	+		10.1017/S0140525X9941221X			DEC 1999	1999										2									
J	MacLennan, BJ								Finding order in our world: The primacy of the concrete in neural representations and the role of invariance in substance reidentification								BEHAVIORAL AND BRAIN SCIENCES				21	1			78	+		10.1017/S0140525X98370405			FEB 1998	1998										3									
J	MACLENNAN, BJ								CAUSES AND INTENTIONS								BEHAVIORAL AND BRAIN SCIENCES				11	3			519	520		10.1017/S0140525X00058751			SEP 1988	1988										1									
J	MacLeod, WB								Is multi-tasking complex?								BEHAVIORAL AND BRAIN SCIENCES				21	6			840	+		10.1017/S0140525X98321767			DEC 1998	1998										1									
J	Macmillan, Malcolm								Is Erdelyi's swan a goose?								BEHAVIORAL AND BRAIN SCIENCES				29	5			525	+		10.1017/S0140525X06369117			OCT 2006	2006										2									
J	MACMILLAN, NA								THE PSYCHOPHYSICS OF SUBLIMINAL PERCEPTION								BEHAVIORAL AND BRAIN SCIENCES				9	1			38	40		10.1017/S0140525X00021427			MAR 1986	1986										66									
J	MACNAMARA, J								LOGICAL COMPETENCE								BEHAVIORAL AND BRAIN SCIENCES				10	4			724	725		10.1017/S0140525X00055497			DEC 1987	1987										2									
J	MacNeilage, P. F.								Linguistic and Manual Evolution								Behavioral and Brain Sciences				14				568	569						1995										3									
J	MacNeilage, PF; Davis, BL								Evolutionary sleight of hand: Then, they saw it; now we don't								BEHAVIORAL AND BRAIN SCIENCES				28	2			137	+		10.1017/S0140525X05350035			APR 2005	2005										2									
J	MacNeilage, PF; Davis, BL								Baby talk and the emergence of first words								BEHAVIORAL AND BRAIN SCIENCES				27	4			517	+		10.1017/S0140525X04380118			AUG 2004	2004										3									
J	MacNeilage, PF								The explanation of "mama" - Response								BEHAVIORAL AND BRAIN SCIENCES				23	3			440	441		10.1017/S0140525X00223261			JUN 2000	2000										1									
J	MacNeilage, PF								The frame/content theory of evolution of speech production								BEHAVIORAL AND BRAIN SCIENCES				21	4			499	+		10.1017/S0140525X98001265			AUG 1998	1998										348									
J	MacNeilage, PF								The frame/content view of speech: What survives, what emerges								BEHAVIORAL AND BRAIN SCIENCES				21	4			532	546		10.1017/S0140525X9849126X			AUG 1998	1998										7									
J	MACNEILAGE, PF								LINGUISTIC AND MANUEL EVOLUTION - FOR THE ATTEMPT - AGAINST THE OUTCOME								BEHAVIORAL AND BRAIN SCIENCES				14	4			568	569		10.1017/S0140525X00071405			DEC 1991	1991										4									
J	MACNEILAGE, PF; STUDDERTKENNEDY, MG; LINDBLOM, B								PRIMATE HANDEDNESS RECONSIDERED								BEHAVIORAL AND BRAIN SCIENCES				14	2			338	338					JUN 1991	1991										2									
J	MACNEILAGE, PF; STUDDERTKENNEDY, MG; LINDBLOM, B								PRIMATE HANDEDNESS - A FOOT IN THE DOOR								BEHAVIORAL AND BRAIN SCIENCES				11	4			736	744					DEC 1988	1988										7									
J	MACNEILAGE, PF; STUDDERTKENNEDY, MG; LINDBLOM, B								PRIMATE HANDEDNESS RECONSIDERED								BEHAVIORAL AND BRAIN SCIENCES				10	2			247	263		10.1017/S0140525X00047695			JUN 1987	1987										451									
J	MACPHAIL, EM								THE COMPARATIVE PSYCHOLOGY OF INTELLIGENCE								BEHAVIORAL AND BRAIN SCIENCES				10	4			645	656		10.1017/S0140525X00054984			DEC 1987	1987										102									
J	MACPHAIL, EM								COMPARING INTELLIGENCES - NOT EASY BUT NOT IMPOSSIBLE - REPLY								BEHAVIORAL AND BRAIN SCIENCES				10	4			681	687		10.1017/S0140525X00055308			DEC 1987	1987										1									
J	MACPHAIL, EM								COMPARATIVE STUDIES OF ANIMAL INTELLIGENCE - IS SPEARMAN G REALLY HULL D								BEHAVIORAL AND BRAIN SCIENCES				8	2			234	235		10.1017/S0140525X00020550			1985	1985										4									
J	MACQUEEN, G; MACRAE, J; SIEGEL, S								CONTIGUITY, CONTINGENCY, ADAPTIVENESS, AND CONTROLS								BEHAVIORAL AND BRAIN SCIENCES				12	1			154	155		10.1017/S0140525X0002478X			MAR 1989	1989										1									
J	Madden, Joah R.								Innovation in sexual display								BEHAVIORAL AND BRAIN SCIENCES				30	4			417	+		10.1017/S0140525X07002488			AUG 2007	2007										2									
J	Madison, G.; Dutton, E.; Stearn, C.								Intelligence, competitive altruism, and 'clever silliness' may underlie bias in academe								Behavioral and Brain Sciences				40											2016										1									
J	Madison, Guy; Dutton, Edward; Stern, Charlotta								Intelligence, competitive altruism, and "clever silliness" may underlie bias in academe								BEHAVIORAL AND BRAIN SCIENCES				40				32	33		10.1017/S0140525X15002368			2017	2017										1									
J	Maestripieri, D; Henry, A; Nickels, N								Explaining financial and prosocial biases in favor of attractive people: Interdisciplinary perspectives from economics, social psychology, and evolutionary psychology								Behavioral and Brain Sciences				40											2017										1									
J	Maestripieri, D; Whitham, J								Teaching in marine mammals? Anecdotes versus science								BEHAVIORAL AND BRAIN SCIENCES				24	2			342	+		10.1017/S0140525X0142396X			APR 2001	2001										4									
J	Maestripieri, D; Carroll, KA								Costs and benefits of female aggressiveness in humans and other mammals								BEHAVIORAL AND BRAIN SCIENCES				22	2			231	+		10.1017/S0140525X99421818			APR 1999	1999										1									
J	Maestripieri, D.; Henry, A.; Nickels, N								Explaining financial and prosocial biases in favor of attractive people: Interdisciplinary perspectives from economics, social psychology, and evolutionary psychology								Behavioral and Brain Sciences																									1									
J	Maestripieri, Dario; Henry, Andrea; Nickels, Nora								Explaining financial and prosocial biases in favor of attractive people: Interdisciplinary perspectives from economics, social psychology, and evolutionary psychology								BEHAVIORAL AND BRAIN SCIENCES				40				1	+	e19	10.1017/S0140525X16000340			2017	2017										19									
J	Maestripieri, Dario; Henry, Andrea; Nickels, Nora								Moving forward with interdisciplinary research on attractiveness-related biases								BEHAVIORAL AND BRAIN SCIENCES				40				39	46	e45	10.1017/S0140525X1600090X			2017	2017										1									
J	Maffie, J								Atran's evolutionary psychology: "Say it ain't just-so, Joe"								BEHAVIORAL AND BRAIN SCIENCES				21	4			583	+		10.1017/S0140525X98371277			AUG 1998	1998										4									
J	MAGGI, CA								CAN CAPSAICIN BE USED TO DISCRIMINATE BETWEEN SUBPOPULATIONS OF B-AFFERENTS								BEHAVIORAL AND BRAIN SCIENCES				13	2			312	312		10.1017/S0140525X00078869			JUN 1990	1990										2									
J	Maher, B								When the coefficient hits the clinic: Effect size and the size of the effect								BEHAVIORAL AND BRAIN SCIENCES				21	2			211	+		10.1017/S0140525X9840116X			APR 1998	1998										4									
J	MAHER, B								META-ANALYSIS - WE NEED BETTER ANALYSIS								BEHAVIORAL AND BRAIN SCIENCES				6	2			297	298		10.1017/S0140525X00016022			1983	1983										1									
J	Mahon, B; Caramazza, A								The sensory/functional assumption or the data: Which do we keep?								BEHAVIORAL AND BRAIN SCIENCES				24	3			488	489		10.1017/S0140525X01344151			JUN 2001	2001										7									
J	MAHONEY, MJ								JUSTICE, EFFICIENCY, AND EPISTEMOLOGY IN THE PEER-REVIEW OF SCIENTIFIC MANUSCRIPTS								BEHAVIORAL AND BRAIN SCIENCES				14	1			157	157		10.1017/S0140525X00065900			MAR 1991	1991										2									
J	MAHONEY, MJ								PUBLICATION, POLITICS, AND SCIENTIFIC PROGRESS								BEHAVIORAL AND BRAIN SCIENCES				5	2			220	221		10.1017/S0140525X00011481			1982	1982										10									
J	Mahr, J; Csibra, G.								Why do we remember? The communicative function of episodic memory.								Behavioral and Brain Sciences.															2017										2									
J	Mahr, J.B.; Csibra, G.								Why do we remember? The communicative function of episodic memory								Behavioral and Brain Sciences				41				1	16						2018										1									
J	Mahr, Johannes B.								Thinking about the past as the past for the past's sake: Why did temporal reasoning evolve?								BEHAVIORAL AND BRAIN SCIENCES				42						e262	10.1017/S0140525X19000402			2019	2019										1									
J	Mahr, Johannes B.; Csibra, Gergely								Why do we remember? The communicative function of episodic memory								BEHAVIORAL AND BRAIN SCIENCES				41						e1	10.1017/S0140525X17000012			2018	2018										19									
J	MAIER, A								OXIDATIVE INDEXES AND MUSCLE-SPINDLE DENSITIES								BEHAVIORAL AND BRAIN SCIENCES				12	4			661	661		10.1017/S0140525X00025188			DEC 1989	1989										1									
J	MAIER, E								IN SEARCH OF COMMON FEATURES OF ANIMALS COLOR-VISION SYSTEMS AND THE CONSTRAINTS OF ENVIRONMENT								BEHAVIORAL AND BRAIN SCIENCES				15	1			44	&		10.1017/S0140525X00067455			MAR 1992	1992										1									
J	MAIN, M								THE ULTIMATE CAUSATION FOR ATTACHMENT PHENOMENA - FURTHER ANSWERS AND FURTHER QUESTIONS								BEHAVIORAL AND BRAIN SCIENCES				2	4			640	643		10.1017/S0140525X00064992			1979	1979										11									
J	Mair, RG; Burk, JA; Porter, MC; Ley, JE								Thalamic amnesia and the hippocampus: Unresolved questions and an alternative candidate								BEHAVIORAL AND BRAIN SCIENCES				22	3			458	+		10.1017/S0140525X99352031			JUN 1999	1999										1									
J	Majerus, S; Van der Linden, M; Collette, F; Salmon, E								Does sustained ERP activity in posterior lexico-semantic processing areas during short-term memory tasks only reflect activated long-term memory?								BEHAVIORAL AND BRAIN SCIENCES				26	6			746	+		10.1017/S0140525X03410169			DEC 2003	2003										1									
J	Majid, Asifa; Levinson, Stephen C.								WEIRD languages have misled us, too								BEHAVIORAL AND BRAIN SCIENCES				33	2-3			103	+		10.1017/S0140525X1000018X			APR-JUN 2010	2010										13									
J	Majid, Asifa; Levinson, Stephen C.								WEIRD Languages Have Misled Us Too								Behavioral and Brain Sciences															2010										1									
J	Majid, Asifa; Levinson, Stephen C.								Language does provide support for basic tastes								BEHAVIORAL AND BRAIN SCIENCES				31	1			86	+		10.1017/S0140525X08003476			FEB 2008	2008										6									
J	MAKI, WS								3-STORE THEORIES OF MEMORY								BEHAVIORAL AND BRAIN SCIENCES				8	3			505	506		10.1017/S0140525X00001394			1985	1985										4									
J	Makino, Takaki								Failure, instead of inhibition, should be monitored for the distinction of self/other and actual/possible actions								BEHAVIORAL AND BRAIN SCIENCES				31	1			32	+		10.1017/S0140525X07003238			FEB 2008	2008										3									
J	Malach, Rafael								The measurement problem in consciousness research								BEHAVIORAL AND BRAIN SCIENCES				30	5-6			516	+		10.1017/S0140525X0700297X			OCT-DEC 2007	2007										15									
J	Malafouris, Lambros								Mindful art								BEHAVIORAL AND BRAIN SCIENCES				36	2			151	152		10.1017/S0140525X12001719			APR 2013	2013										1									
J	Malafouris, Lambros								Prosthetic gestures: How the tool shapes the mind								BEHAVIORAL AND BRAIN SCIENCES				35	4			230	+		10.1017/S0140525X11001919			AUG 2012	2012										9									
J	Malaia, Evie								Current and future methodologies for quantitative analysis of information transfer in sign language and gesture data								BEHAVIORAL AND BRAIN SCIENCES				40						e63	10.1017/S0140525X15002988			2017	2017										5									
J	Malcolm, NL								Consciousness - subject to agreement								BEHAVIORAL AND BRAIN SCIENCES				22	6			963	+		10.1017/S0140525X99422216			DEC 1999	1999										1									
J	Malecek, Nicholas J.; Poldrack, Russell A.								Beyond dopamine: The noradrenergic system and mental effort								BEHAVIORAL AND BRAIN SCIENCES				36	6			698	699		10.1017/S0140525X13001106			DEC 2013	2013										6									
J	Malka, Ariel; Soto, Christopher J.								How encompassing is the effect of negativity bias on political conservatism?								BEHAVIORAL AND BRAIN SCIENCES				37	3			320	321		10.1017/S0140525X13002653			JUN 2014	2014										5									
J	MALMO, RB; FUREDY, JJ								SETTLING THE STIMULUS-SUBSTITUTION ISSUE IS A PREREQUISITE FOR SOUND NONTELEOLOGICAL NEURAL ANALYSIS OF HEART-RATE DECELERATION CONDITIONING								BEHAVIORAL AND BRAIN SCIENCES				16	2			392	393		10.1017/S0140525X00030715			JUN 1993	1993										2									
J	MALMO, RB; MALMO, HP								WISE NEURAL MODEL IMPLICATING THE RETICULAR-FORMATION - SOME QUERIES								BEHAVIORAL AND BRAIN SCIENCES				5	1			66	67		10.1017/S0140525X00010517			1982	1982										1									
J	MALMO, RB; MALMO, HP								NEEDED - MORE DATA ON THE RETICULAR-FORMATION								BEHAVIORAL AND BRAIN SCIENCES				4	3			485	486		10.1017/S0140525X00009973			1981	1981										1									
J	MALONE, JC								A 4TH APPROACH TO THE STUDY OF LEARNING - ARE PROCESSES REALLY NECESSARY								BEHAVIORAL AND BRAIN SCIENCES				4	1			151	152		10.1017/S0140525X00008116			1981	1981										2									
J	Maloney, LT								Surface color perception in constrained environments								BEHAVIORAL AND BRAIN SCIENCES				26	1			38	+		10.1017/S0140525X03400010			FEB 2003	2003										1									
J	MALONEY, LT								A MATHEMATICAL FRAMEWORK FOR BIOLOGICAL COLOR-VISION								BEHAVIORAL AND BRAIN SCIENCES				15	1			45	&		10.1017/S0140525X00067467			MAR 1992	1992										7									
J	Mancini, Anthony D.								Are positive appraisals always adaptive?								BEHAVIORAL AND BRAIN SCIENCES				38						e113	10.1017/S0140525X14001630			2015	2015										1									
J	Mancini, Francesco; Gangemi, Amelia								The relevance of maintaining and worsening processes in psychopathology								BEHAVIORAL AND BRAIN SCIENCES				38						e14	10.1017/S0140525X14000375			2015	2015										1									
J	MANCUSO, JC; SARBIN, TR; HEERDT, WA								SCHIZOPHRENIC LANGUAGE - AN EPHEMERON HIDING AN EPHEMERON								BEHAVIORAL AND BRAIN SCIENCES				5	4			605	607		10.1017/S0140525X00013856			1982	1982										1									
J	Mandel, David R.								Differential focus in causal and counterfactual thinking: Different possibilities or different functions?'								BEHAVIORAL AND BRAIN SCIENCES				30	5-6			460	+		10.1017/S0140525X0700266X			OCT-DEC 2007	2007										1									
J	Mandel, David R.								Nested sets theory, full stop: Explaining performance on Bayesian inference tasks without dual-systems assumptions								BEHAVIORAL AND BRAIN SCIENCES				30	3			275	+		10.1017/S0140525X07001835			JUN 2007	2007										3									
J	Mandel, David R.								Suicide Terrorism, Moral Relativism, and the Situationist Narrative								Behavioral and Brain Sciences				37				372	373																1									
J	Mandel, DR								On the meaning and function of normative analysis: Conceptual blur in the rationality debate?								BEHAVIORAL AND BRAIN SCIENCES				23	5			686	+		10.1017/S0140525X00453434			OCT 2000	2000										1									
J	Mandelbaum, Eric; Ripley, David								Expectations and morality: A dilemma								BEHAVIORAL AND BRAIN SCIENCES				33	4			346	+		10.1017/S0140525X10001822			AUG 2010	2010										2									
J	MANDLER, G								THE PROCESSING OF INFORMATION IS NOT CONSCIOUS, BUT ITS PRODUCTS OFTEN ARE								BEHAVIORAL AND BRAIN SCIENCES				14	4			688	688		10.1017/S0140525X00072009			DEC 1991	1991										5									
J	MANDLER, G								MIND (PSYCHOLOGY) IS NOT (CURRENTLY) REDUCIBLE TO BODY (NEUROBIOLOGY)								BEHAVIORAL AND BRAIN SCIENCES				1	3			358	358		10.1017/S0140525X00075324			1978	1978										1									
J	Mandler, Jean M.								A leaner nativist solution to the origin of concepts								BEHAVIORAL AND BRAIN SCIENCES				34	3						10.1017/S0140525X10002165			JUN 2011	2011										2									
J	Manfrinati, Andrea								United we stand, divided we fall: Cognition, emotion, and the moral link between them								BEHAVIORAL AND BRAIN SCIENCES				38						e80	10.1017/S0140525X14000946			2015	2015										2									
J	Mangan, B								Empirical status of Block's phenomenal/access distinction								BEHAVIORAL AND BRAIN SCIENCES				20	1			153	&		10.1017/S0140525X97280052			MAR 1997	1997										2									
J	MANGAN, B								EPI-ARGUMENTS FOR EPIPHENOMENALISM								BEHAVIORAL AND BRAIN SCIENCES				14	4			689	689		10.1017/S0140525X00072010			DEC 1991	1991										4									
J	Mani, N.; Huettig, F.								Towards a complete multiple-mechanism account of predictive language processing: Commentary on Pickering & Garrod								Behavioral and Brain Sciences																									1									
J	Mani, Nivedita; Huettig, Falk								Towards a complete multiple-mechanism account of predictive language processing								BEHAVIORAL AND BRAIN SCIENCES				36	4			365	366		10.1017/S0140525X12002646			AUG 2013	2013										7									
J	Manktelow, KI								Dilemmas of rationality								BEHAVIORAL AND BRAIN SCIENCES				23	5			687	+		10.1017/S0140525X00463430			OCT 2000	2000										1									
