PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	ADELSON, EH								WHAT IS ICONIC STORAGE GOOD FOR								BEHAVIORAL AND BRAIN SCIENCES				6	1			11	12		10.1017/S0140525X00014291			1983	1983										5									
J	Adenzato, M								Gene-culture coevolution does not replace standard evolutionary theory								BEHAVIORAL AND BRAIN SCIENCES				23	1			146	+		10.1017/S0140525X00222413			FEB 2000	2000										1									
J	ADER, R; COHEN, N								CONDITIONED-RESPONSES ARE INDEED CONDITIONED								BEHAVIORAL AND BRAIN SCIENCES				9	4			760	763		10.1017/S0140525X00052389			DEC 1986	1986										7									
J	ADER, R; COHEN, N								CNS - IMMUNE-SYSTEM INTERACTIONS - CONDITIONING PHENOMENA								BEHAVIORAL AND BRAIN SCIENCES				8	3			379	395		10.1017/S0140525X00000765			1985	1985										109									
J	ADINOLFI, M								IMMUNOSELECTION AND MALE DISEASES								BEHAVIORAL AND BRAIN SCIENCES				8	3			441	442		10.1017/S0140525X00001035			1985	1985										1									
J	Adkins-Regan, E								Brain evolution: Part I								BEHAVIORAL AND BRAIN SCIENCES				29	1			12	+		10.1017/S0140525X06229017			FEB 2006	2006										1									
J	Adler, JE								Three fallacies								BEHAVIORAL AND BRAIN SCIENCES				23	5			665	+		10.1017/S0140525X00223431			OCT 2000	2000										2									
J	ADLER, JE								COMPARISONS WITH GRICE								BEHAVIORAL AND BRAIN SCIENCES				10	4			710	711		10.1017/S0140525X00055357			DEC 1987	1987										1									
J	ADLER, JE								HUMAN RATIONALITY - ESSENTIAL CONFLICTS, MULTIPLE IDEALS								BEHAVIORAL AND BRAIN SCIENCES				6	2			245	246		10.1017/S0140525X00015673			1983	1983										1									
J	ADLER, JE								THE RATIONALITY OF THE (LAY) SCIENTIST - TOWARD RECONCILIATION								BEHAVIORAL AND BRAIN SCIENCES				6	3			487	488		10.1017/S0140525X00017118			1983	1983										1									
J	Adolph, KE; Marin, LM; Fraisse, FF								Learning and exploration: Lessons from infants								BEHAVIORAL AND BRAIN SCIENCES				24	2			213	+		10.1017/S0140525X01223942			APR 2001	2001										2									
J	Adolphs, R								Is reward an emotion?								BEHAVIORAL AND BRAIN SCIENCES				23	2			192	+		10.1017/S0140525X00222425			APR 2000	2000										1									
J	Aerts, Diederik; Broekaert, Jan; Gabora, Liane; Sozzo, Sandro								Quantum structure and human thought								BEHAVIORAL AND BRAIN SCIENCES				36	3			274	276		10.1017/S0140525X12002841			JUN 2013	2013										37									
J	AGARWAL, GC								MOVEMENT CONTROL HYPOTHESES - A LESSON FROM HISTORY								BEHAVIORAL AND BRAIN SCIENCES				15	4			705	706					DEC 1992	1992										2									
J	AGARWAL, GC								HUMAN COGNITION IS AN ADAPTIVE PROCESS								BEHAVIORAL AND BRAIN SCIENCES				14	3			485	485		10.1017/S0140525X00070813			SEP 1991	1991										1									
J	AGARWAL, GC; GOTTLIEB, GL								COMPLEXITY IN CONTROL OF MOVEMENTS								BEHAVIORAL AND BRAIN SCIENCES				9	4			599	600		10.1017/S0140525X0005127X			DEC 1986	1986										2									
J	Aggleton, J.; Brown, M.; Aggleton, J. P.; Brown, M. W.								Episodic memory, amnesia, and the hippocampalanterior thalamic axis								Behavioral and Brain Sciences				22	03			10	1017						1999										1									
J	Aggleton, JP; Brown, MW								Episodic memory, amnesia and the hippocampal-anterior thalamic axis								BEHAVIORAL AND BRAIN SCIENCES				22	3			425	+					JUN 1999	1999										1233									
J	Aggleton, JP; Brown, MW								Thanks for the memories: Extending the hippocampal-diencephalic mnemonic system - Response								BEHAVIORAL AND BRAIN SCIENCES				22	3			471	489		10.1017/S0140525X99482032			JUN 1999	1999										6									
J	AGGLETON, JP								IS THE PROPOSAL TESTABLE AND HOW EXTENSIVE IS THE HIPPOCAMPAL MEMORY SYSTEM								BEHAVIORAL AND BRAIN SCIENCES				17	3			472	473		10.1017/S0140525X00035408			SEP 1994	1994										1									
J	Agostino, Patricia V.; Peryer, Guy; Meck, Warren H.								How music fills our emotions and helps us keep time								BEHAVIORAL AND BRAIN SCIENCES				31	5			575	+		10.1017/S0140525X0800530X			OCT 2008	2008										4									
J	Agrillo, Christian; Bisazza, Angelo c								The contribution of fish studies to the "number sense" debate								BEHAVIORAL AND BRAIN SCIENCES				40				16	17	e165	10.1017/S0140525X16002053			2017	2017										2									
J	AHISSAR, E								ARE SINGLE-CELL DATA SUFFICIENT FOR TESTING NEURAL NETWORK MODELS								BEHAVIORAL AND BRAIN SCIENCES				18	4			626	627		10.1017/S0140525X00040176			DEC 1995	1995										1									
J	AHLENIUS, S								A FUNCTIONAL CONSIDERATION OF ANATOMICAL CONNECTIONS BETWEEN THE BASAL GANGLIA AND THE THALAMUS SUGGESTS THAT ANTIPSYCHOTIC-DRUGS INHIBIT THE INITIATION OF MOVEMENT								BEHAVIORAL AND BRAIN SCIENCES				8	1			173	174		10.1017/S0140525X00020239			1985	1985										3									
J	Ahmed, Serge H.								Toward an evolutionary basis for resilience to drug addiction								BEHAVIORAL AND BRAIN SCIENCES				34	6			310	311		10.1017/S0140525X11000677			DEC 2011	2011										7									
J	Ahmed, Serge H.								The origin of addictions by means of unnatural decision								BEHAVIORAL AND BRAIN SCIENCES				31	4			437	+		10.1017/S0140525X08004731			AUG 2008	2008										2									
J	Ainslie, G								What good are facts? The "drug" value of money as an exemplar of all non-instrumental value								BEHAVIORAL AND BRAIN SCIENCES				29	2			176	+		10.1017/S0140525X06239049			APR 2006	2006										3									
J	Ainslie, G								You can't give permission to be a bastard: Empathy and self-signaling as uncontrollable independent variables in bargaining games								BEHAVIORAL AND BRAIN SCIENCES				28	6			815	+		10.1017/S0140525X05220149			DEC 2005	2005										4									
J	Ainslie, G								Precis of breakdown of will								BEHAVIORAL AND BRAIN SCIENCES				28	5			635	+		10.1017/S0140525X05000117			OCT 2005	2005										75									
J	Ainslie, G								Gods are more flexible than resolutions								BEHAVIORAL AND BRAIN SCIENCES				27	6			730	+		10.1017/S0140525X04220179			DEC 2004	2004										1									
J	Ainslie, G								The self is virtual, the will is not illusory								BEHAVIORAL AND BRAIN SCIENCES				27	5			659	+		10.1017/S0140525X04220155			OCT 2004	2004										2									
J	Ainslie, G; Haslam, N								Altruism is a primary impulse, not a discipline								BEHAVIORAL AND BRAIN SCIENCES				25	2			251	+		10.1017/S0140525X02220051			APR 2002	2002										1									
J	Ainslie, G; Monterosso, J								Hyperbolic discounting lets empathy be a motivated process								BEHAVIORAL AND BRAIN SCIENCES				25	1			20	+		10.1017/S0140525X02220014			FEB 2002	2002										2									
J	Ainslie, G; Gault, B								Intention isn't indivisible								BEHAVIORAL AND BRAIN SCIENCES				20	2			365	&		10.1017/S0140525X97001477			JUN 1997	1997										2									
J	AINSLIE, G								MATCHING IS THE INTEGRATING FRAMEWORK								BEHAVIORAL AND BRAIN SCIENCES				11	4			679	680		10.1017/S0140525X0005398X			DEC 1988	1988										2									
J	AINSLIE, G								BEHAVIOR IS WHAT CAN BE REINFORCED								BEHAVIORAL AND BRAIN SCIENCES				8	1			53	54		10.1017/S0140525X0001949X			1985	1985										3									
J	Ainslie, George								Selfish goals must compete for the common currency of reward								BEHAVIORAL AND BRAIN SCIENCES				37	2			135	136		10.1017/S0140525X13001933			APR 2014	2014										1									
J	Ainslie, George								Cold climates demand more intertemporal self-control than warm climates								BEHAVIORAL AND BRAIN SCIENCES				36	5			481	482		10.1017/S0140525X13000022			OCT 2013	2013										6									
J	Ainslie, George								Foresight has to pay off in the present moment								BEHAVIORAL AND BRAIN SCIENCES				30	3			313	+		10.1017/S0140525X07001987			JUN 2007	2007										8									
J	AINSWORTH, MDS								BOWLBY-AINSWORTH ATTACHMENT THEORY								BEHAVIORAL AND BRAIN SCIENCES				1	3			436	438		10.1017/S0140525X00075828			1978	1978										23									
J	Ainsworth, Sarah E.; Baumeister, Roy F.; Vohs, Kathleen D.								Differentiation of individual selves facilitates group-level benefits of ultrasociality								BEHAVIORAL AND BRAIN SCIENCES				39						e93	10.1017/S0140525X15001004			2016	2016										3									
J	Ainsworth, Sarah E; Baumeister, Roy F								Cooperation and fairness depend on self-regulation.								The Behavioral and brain sciences				36	1			79	80		10.1017/S0140525X12000696			2013-Feb	2013										2									
J	Airey, DC; Williams, RW								Quantitative neurogenetic perspectives								BEHAVIORAL AND BRAIN SCIENCES				24	2			279	+		10.1017/S0140525X01233950			APR 2001	2001										1									
J	AKERS, C								PARAPSYCHOLOGY IS SCIENCE, BUT ITS FINDINGS ARE INCONCLUSIVE								BEHAVIORAL AND BRAIN SCIENCES				10	4			566	568		10.1017/S0140525X00054480			DEC 1987	1987										1									
J	AKINS, KA; LAMPING, J								MORE THAN MERE COLORING - THE ART OF SPECTRAL VISION								BEHAVIORAL AND BRAIN SCIENCES				15	1			26	&		10.1017/S0140525X0006725X			MAR 1992	1992										1									
J	AKINS, KA; DENNETT, DC								WHO MAY I ASK IS CALLING								BEHAVIORAL AND BRAIN SCIENCES				9	3			517	518		10.1017/S0140525X00046793			SEP 1986	1986										11									
J	ALAIN, C; ACHIM, A; RICHER, F								MATCHING CANNOT ACCOUNT FOR CONTEXT EFFECTS ON THE ATTENTION-RELATED NEGATIVE POTENTIAL								BEHAVIORAL AND BRAIN SCIENCES				14	4			761	761		10.1017/S0140525X00072423			DEC 1991	1991										1									
J	Alario, F. -Xavier; Hamame, Carlos M.								Evidence for, and predictions from, forward modeling in language production								BEHAVIORAL AND BRAIN SCIENCES				36	4			348	349		10.1017/S0140525X1200249X			AUG 2013	2013										2									
J	ALBANO, JE								EXPRESS SACCADE PROGRAMMING PRODUCES VISUALLY TRIGGERED SACCADES								BEHAVIORAL AND BRAIN SCIENCES				16	3			568	568		10.1017/S0140525X00031587			SEP 1993	1993										1									
J	ALBERCH, P								A RETURN TO THE BAUPLAN								BEHAVIORAL AND BRAIN SCIENCES				7	3			332	332		10.1017/S0140525X00018380			1984	1984										1									
J	ALBERT, AD; YEAGLE, PL								THE DETERMINATION OF RHODOPSIN STRUCTURE MAY REQUIRE ALTERNATIVE APPROACHES								BEHAVIORAL AND BRAIN SCIENCES				18	3			469	469		10.1017/S0140525X00039236			SEP 1995	1995										1									
J	ALBERT, DJ								THE CONSOCIATE MODULATOR								BEHAVIORAL AND BRAIN SCIENCES				2	2			213	213		10.1017/S0140525X00061938			1979	1979										1									
J	Alcock, J								The myth of genetic determinism - again								BEHAVIORAL AND BRAIN SCIENCES				22	5			885	+		10.1017/S0140525X99222200			OCT 1999	1999										1									
J	ALCOCK, J								SINGING DOWN A BLIND ALLEY								BEHAVIORAL AND BRAIN SCIENCES				11	4			630	631		10.1017/S0140525X00053711			DEC 1988	1988										3									
J	ALCOCK, J								BEYOND THE SOCIOBIOLOGY OF SEXUALITY - PREDICTIVE HYPOTHESES								BEHAVIORAL AND BRAIN SCIENCES				3	2			181	182		10.1017/S0140525X00004131			1980	1980										9									
J	Alcock, JE								Science, pseudoscience, and anomaly - Response								BEHAVIORAL AND BRAIN SCIENCES				21	2			303	303		10.1017/S0140525X98231189			APR 1998	1998										1									
J	ALCOCK, JE								PARAPSYCHOLOGY - SCIENCE OF THE ANOMALOUS OR SEARCH FOR THE SOUL								BEHAVIORAL AND BRAIN SCIENCES				10	4			553	565		10.1017/S0140525X00054467			DEC 1987	1987										33									
J	ALCOCK, JE								A TO-DO ABOUT DUALISM OR A DUEL ABOUT DATA - REPLY								BEHAVIORAL AND BRAIN SCIENCES				10	4			627	644		10.1017/S0140525X00054972			DEC 1987	1987										4									
J	Alcorta, C.; Sosis, R.								Is religion adaptive?								Behavioral and Brain Sciences				27	06			749	750						2005										1									
J	Alcorta, Candace S.; Sosis, Richard; Finkel, Daniel								Ritual harmony: Toward an evolutionary theory of music								BEHAVIORAL AND BRAIN SCIENCES				31	5			576	+		10.1017/S0140525X08005311			OCT 2008	2008										6									
J	Alcorta, Candace Storey; Sosis, Richard								Why ritual works: A rejection of the by-product hypothesis								BEHAVIORAL AND BRAIN SCIENCES				29	6			613	+		10.1017/S0140525X06009344			DEC 2006	2006										7									
J	ALEKSANDROV, IO; MAKSIMOVA, NE								P300 AND THE VALIDITY OF PSYCHOPHYSIOLOGICAL DESCRIPTIONS OF BEHAVIOR								BEHAVIORAL AND BRAIN SCIENCES				11	3			374	375		10.1017/S0140525X00058039			SEP 1988	1988										1									
J	Aleman, A; Kahn, RS								Top-down modulation, emotion, and hallucination								BEHAVIORAL AND BRAIN SCIENCES				25	5			578	+		10.1017/S0140525X02220105			OCT 2002	2002										1									
J	Alexander, David M.; Moors, Pieter								If we accept that poor replication rates are mainstream								BEHAVIORAL AND BRAIN SCIENCES				41						e121	10.1017/S0140525X18000572			2018	2018										1									
J	ALEXANDER, GE; DELONG, MR; CRUTCHER, MD								DO CORTICAL AND BASAL GANGLIONIC MOTOR AREAS USE MOTOR PROGRAMS TO CONTROL MOVEMENT								BEHAVIORAL AND BRAIN SCIENCES				15	4			656	665					DEC 1992	1992										67									
J	ALEXANDER, GE								FOR EFFECTIVE SENSORIMOTOR PROCESSING MUST THERE BE EXPLICIT REPRESENTATIONS AND RECONCILIATIONS OF DIFFERING FRAMES OF REFERENCE								BEHAVIORAL AND BRAIN SCIENCES				15	2			321	322		10.1017/S0140525X00068825			JUN 1992	1992										4									
J	Alexander, Joshua; Mallon, Ronald; Weinberg, Jonathan M.								Competence: What's in? What's out? Who knows?								BEHAVIORAL AND BRAIN SCIENCES				33	4			329	+		10.1017/S0140525X10001652			AUG 2010	2010										2									
J	ALEXANDER, RM								TENDON ELASTICITY AND POSITIONAL CONTROL								BEHAVIORAL AND BRAIN SCIENCES				18	4			745	745		10.1017/S0140525X00040711			DEC 1995	1995										3									
J	ALEXANDER, RM								DO LEGS HAVE SURPLUS DEGREES OF FREEDOM								BEHAVIORAL AND BRAIN SCIENCES				9	4			600	600		10.1017/S0140525X00051281			DEC 1986	1986										2									
J	ALGOM, D								PERCEPTION, APPERCEPTION, AND PSYCHOPHYSICS								BEHAVIORAL AND BRAIN SCIENCES				15	3			558	559		10.1017/S0140525X00069946			SEP 1992	1992										2									
J	Algom, Daniel								Slippery platform: The role of automatic and intentional processes in testing the effect of notation								BEHAVIORAL AND BRAIN SCIENCES				32	3-4			328	+		10.1017/S0140525X09990501			JUN-AUG 2009	2009										1									
J	ALHEID, GF; HEIMER, L								THE EXTENDED AMYGDALA AS A RECEPTOR AREA FOR PSYCHOTHERAPEUTIC DRUGS								BEHAVIORAL AND BRAIN SCIENCES				10	2			208	208		10.1017/S0140525X0004749X			JUN 1987	1987										1									
J	Alibali, Martha W.; Hostetter, Autumn B.								Mimicry and simulation in gesture comprehension								BEHAVIORAL AND BRAIN SCIENCES				33	6			433	U68		10.1017/S0140525X10001445			DEC 2010	2010										10									
J	Alibali, MW; Koedinger, KR								The developmental progression from implicit to explicit knowledge: A computational approach								BEHAVIORAL AND BRAIN SCIENCES				22	5			755	+		10.1017/S0140525X99222182			OCT 1999	1999										1									
J	Alicke, Mark; Rose, David								Culpable control or moral concepts?								BEHAVIORAL AND BRAIN SCIENCES				33	4			330	+		10.1017/S0140525X10001664			AUG 2010	2010										18									
J	Allen, C								The evolution of rational demons								BEHAVIORAL AND BRAIN SCIENCES				23	5			742	+		10.1017/S0140525X00223443			OCT 2000	2000										3									
J	Allen, C								Animal concepts								BEHAVIORAL AND BRAIN SCIENCES				21	1			66	+		10.1017/S0140525X98220401			FEB 1998	1998										5									
J	ALLEN, C								WHY ESHKOL-WACHMAN BEHAVIORAL NOTATION IS NOT ENOUGH								BEHAVIORAL AND BRAIN SCIENCES				15	2			266	267		10.1017/S0140525X00068540			JUN 1992	1992										2									
J	ALLEN, H								A 3-COMPONENT ANALYSIS OF HOFFMAN MODEL OF VERBAL HALLUCINATIONS								BEHAVIORAL AND BRAIN SCIENCES				9	3			518	518		10.1017/S0140525X0004680X			SEP 1986	1986										2									
J	Allen, Jedediah W. P.; Bickhard, Mark H.								You can't get there from here: Foundationalism and development								BEHAVIORAL AND BRAIN SCIENCES				34	3			124	U18		10.1017/S0140525X10002311			JUN 2011	2011										5									
J	ALLEN, JF								DO STORY GRAMMARS AND STORY POINTS DIFFER								BEHAVIORAL AND BRAIN SCIENCES				6	4			592	593		10.1017/S0140525X00017544			1983	1983										1									
J	Allen, Nicholas B.; Badcock, Paul B. T.								Genes for susceptibility to mental disorder are not mental disorder: Clarifying the target of evolutionary analysis and the role of the environment								BEHAVIORAL AND BRAIN SCIENCES				29	4			405	+		10.1017/S0140525X06239098			AUG 2006	2006										1									
J	ALLEY, TR								PERCEIVED AGE, PHYSICAL ATTRACTIVENESS, AND SEX-DIFFERENCES IN PREFERRED MATES AGES								BEHAVIORAL AND BRAIN SCIENCES				15	1			92	&		10.1017/S0140525X00067601			MAR 1992	1992										10									
J	ALLEY, TR; SHAW, RE								PRINCIPLES OF LEARNING AND THE ECOLOGICAL STYLE OF INQUIRY								BEHAVIORAL AND BRAIN SCIENCES				4	1			139	141		10.1017/S0140525X00007974			1981	1981										3									
J	ALLIK, J								IS A UNIFIED PSYCHOPHYSICAL LAW REALISTIC								BEHAVIORAL AND BRAIN SCIENCES				12	2			267	268		10.1017/S0140525X00048561			JUN 1989	1989										4									
J	ALLIK, J; BACHMANN, T								HOW BAD IS THE ICON								BEHAVIORAL AND BRAIN SCIENCES				6	1			12	13		10.1017/S0140525X00014308			1983	1983										7									
J	Allik, Jueri; Realo, Anu								How is freedom distributed across the earth?								BEHAVIORAL AND BRAIN SCIENCES				36	5			482	483		10.1017/S0140525X13000034			OCT 2013	2013										1									
J	Alpert, M; Angrist, B								The ketamine model for schizophrenia								BEHAVIORAL AND BRAIN SCIENCES				26	1			82	+		10.1017/S0140525X03220021			FEB 2003	2003										1									
J	ALPERT, M								LANGUAGE PROCESS AND HALLUCINATION PHENOMENOLOGY								BEHAVIORAL AND BRAIN SCIENCES				9	3			518	519		10.1017/S0140525X00046811			SEP 1986	1986										9									
J	ALROY, J; LEVINE, A								DRIVING BOTH WAYS - WILSON AND SOBER CONFLICTING CRITERIA FOR THE IDENTIFICATION OF GROUPS AS VEHICLES OF SELECTION								BEHAVIORAL AND BRAIN SCIENCES				17	4			608	610		10.1017/S0140525X00036116			DEC 1994	1994										1									
J	Alterman, R								Everyday memory and activity								BEHAVIORAL AND BRAIN SCIENCES				19	2			189	&		10.1017/S0140525X00042138			JUN 1996	1996										2									
J	ALTMANN, SA								DARWIN, DECEIT AND METACOMMUNICATION								BEHAVIORAL AND BRAIN SCIENCES				11	2			244	245		10.1017/S0140525X00049694			JUN 1988	1988										1									
J	ALTMANN, SA								DOMINANCE RELATIONSHIPS - THE CHESHIRE CATS GRIN								BEHAVIORAL AND BRAIN SCIENCES				4	3			430	431		10.1017/S0140525X00009638			1981	1981										11									
J	Alvard, M								Good hunters keep smaller shares of larger pies								BEHAVIORAL AND BRAIN SCIENCES				27	4			560	+		10.1017/S0140525X0422012X			AUG 2004	2004										4									
J	Ambridge, Ben								Horses for courses: When acceptability judgments are more suitable than structural priming (and vice versa)								BEHAVIORAL AND BRAIN SCIENCES				40						e284	10.1017/S0140525X17000322			2017	2017										1									
J	Amici, Federica; Call, Josep; Aureli, Filippo								Coexistence of general intelligence and specialized modules								BEHAVIORAL AND BRAIN SCIENCES				40						e196	10.1017/S0140525X16001576			2017	2017										1									
